doc_id,doc_number,source,source_kind,title,date,date_display,place,summit_phase,session,principals,venue,persons,topics,verified,url,case_number,doctype,classification
foia-C06288857,,foia.state.gov,declassified,OAU COUNCIL OF MINISTERS DRAFT - STATEMENT ON SOUTHERN AFRICA,1987-03-04,"March 04, 1987",,aftermath,,,,,Regional Issues,True,https://foia.state.gov/DOCUMENTS/FOIA_May2017/F-2017-00016EAN1345/DOC_0C06288857/C06288857.pdf,F-2017-00016,Telegram,Unclassified
frus1981-88v06-d23,23,FRUS 1981-1988 v06,historical-document,Paper Prepared in the Central Intelligence Agency,1987-03-10,undated,Washington,aftermath,,,,Ronald Reagan; Gates; George P. Shultz; Weinberger; Carlucci; Bush; Casey; Howard Baker; Mikhail S. Gorbachev,SDI; INF,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d23,,,
foia-F-2007-00658,,foia.state.gov,declassified,"Official-Informal, March 10, 1987",1987-03-10,"March 10, 1987",,aftermath,,,,,,True,https://foia.state.gov/DOCUMENTS\Waterfall\189848.pdf,F-2007-00658,Telegram,UNCLASS
foia-C06288860,,foia.state.gov,declassified,NAMIBIA IN SECURITY COUNCIL: NEXT DEBATE IN - MARCH OR EARLY APRIL,1987-03-11,"March 11, 1987",,aftermath,,,,,Regional Issues,True,https://foia.state.gov/DOCUMENTS/FOIA_May2017/F-2017-00016EAN1345/DOC_0C06288860/C06288860.pdf,F-2017-00016,Telegram,Unclassified
frus1981-88v06-d24,24,FRUS 1981-1988 v06,historical-document,Minutes of a Policy Review Group Meeting,1987-03-18,"March 18, 1987, 1–2 p.m.",Washington,aftermath,,,,Ermarth; Powell; George P. Shultz; Donald Gregg; Rozanne Ridgway; Richard Schifter; Mark Parris; Frank Gaffney; Richard Kerr; John Moellering; Kenneth L. Adelman; Michael Guhin; Marvin Stone; Robert Linhard; Paul H. Nitze; Armacost; Ronald Reagan,INF; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d24,,,
frus1981-88v06-d25,25,FRUS 1981-1988 v06,historical-document,Notes of a Meeting,1987-03-18,"March 18, 1987",Washington,aftermath,,,,George P. Shultz; Carlucci; Howard Baker; Armacost,INF; Strategic Arms; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d25,,,
frus1981-88v06-d26,26,FRUS 1981-1988 v06,historical-document,Memorandum From the Under Secretary of State for Political Affairs (Armacost) to Secretary of State Shultz,1987-03-20,"March 20, 1987",Washington,aftermath,,,,Armacost; George P. Shultz; Ronald Reagan; Carlucci; Baker; Dobrynin; Mikhail S. Gorbachev; Vorontsov; Ryzhkov; Shevardnadze; Adamishin,INF; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d26,,,
frus1981-88v06-d27,27,FRUS 1981-1988 v06,historical-document,Memorandum From the Executive Secretary of the Department of State (Levitsky) to the President’s Assistant for National Security Affairs (Carlucci),1987-03-23,"March 23, 1987",Washington,aftermath,,,,Levitsky; Carlucci,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d27,,,
frus1981-88v06-d28,28,FRUS 1981-1988 v06,historical-document,Memorandum From Barry Kelly of the National Security Council Staff to the President’s Assistant for National Security Affairs (Carlucci),1987-03-24,"March 24, 1987",Washington,aftermath,,,,Carlucci; Powell,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d28,,,
frus1981-88v06-d29,29,FRUS 1981-1988 v06,historical-document,Information Memorandum From the Assistant Secretary of State for Human Rights and Humanitarian Affairs (Schifter) to Secretary of State Shultz,1987-03-25,"March 25, 1987",Washington,aftermath,,,,Schifter; George P. Shultz; Mikhail S. Gorbachev; Ridgway; Solomon; Abramowitz; Derwinski; Kampelman; Kenneth L. Adelman,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d29,,,
frus1981-88v06-d30,30,FRUS 1981-1988 v06,historical-document,Memorandum From Fritz Ermarth of the National Security Council Staff to the President’s Assistant for National Security Affairs (Carlucci),1987-03-26,"March 26, 1987",Washington,aftermath,,,,Fritz Ermarth; Carlucci; George P. Shultz; Ronald Reagan; Bush; Powell; Baker; Duberstein; Robert Linhard; Mikhail S. Gorbachev; Jimmy Carter; Roz Ridgway; Armacost,SDI; INF; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d30,,,
frus1981-88v06-d31,31,FRUS 1981-1988 v06,historical-document,Minutes of a National Security Planning Group Meeting,1987-03-27,"March 27, 1987, 1:30–3 p.m.",Washington,aftermath,,,,George P. Shultz; Jack F. Matlock Jr.; Caspar W. Weinberger; Robert M. Gates; Arnold Burns; William Webster; John Moellering; Howard Baker; Ken Duberstein; Frank C. Carlucci; Colin L. Powell; Hartman; Armacost; Gromyko; Bill Casey; Bud McFarlane; Carter,Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d31,,,
foia-n/a,,foia.state.gov,declassified,PROPOSED A MEETING TO CLARIFY THE SITUATION OF RAOUL WALLENBERG,1987-03-27,"March 27, 1987",,aftermath,,,,Ronald Reagan,,True,https://foia.state.gov/DOCUMENTS\wallenberg\1f91.PDF,n/a,General correspondence,UNCLASS
foia-n/a,,foia.state.gov,declassified,THE CASE OF RAOUL WALLENBERG,1987-03-27,"March 27, 1987",,aftermath,,,,Mikhail S. Gorbachev,,True,https://foia.state.gov/DOCUMENTS\wallenberg\1f9b.PDF,n/a,General correspondence,UNCLASS
foia-n/a,,foia.state.gov,declassified,LETTER RE RAOUL WALLENBERG CASE,1987-03-27,"March 27, 1987",,aftermath,,,,Ronald Reagan,,True,https://foia.state.gov/DOCUMENTS\wallenberg\22c4.PDF,n/a,General correspondence,UNCLASS
foia-n/a,,foia.state.gov,declassified,LETTER RE RAOUL WALLENBERG CASE,1987-03-27,"March 27, 1987",,aftermath,,,,Mikhail S. Gorbachev,,True,https://foia.state.gov/DOCUMENTS\wallenberg\22ea.PDF,n/a,General correspondence,UNCLASS
frus1981-88v06-d32,32,FRUS 1981-1988 v06,historical-document,Information Memorandum From the Assistant Secretary of State for Human Rights and Humanitarian Affairs (Schifter) to Secretary of State Shultz,1987-03-28,"March 28, 1987",Washington,aftermath,,,,Schifter; George P. Shultz; C. Max Kampelman; Ridgway; Solomon; Abramowitz; Derwinski; Kenneth L. Adelman; Mikhail S. Gorbachev,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d32,,,
frus1981-88v06-d33,33,FRUS 1981-1988 v06,historical-document,Memorandum From Barry Kelly of the National Security Council Staff to the President’s Assistant for National Security Affairs (Carlucci) and the President’s Deputy Assistant for National Security Affairs (Powell),1987-04-06,"April 6, 1987",Washington,aftermath,,,,Carlucci; Powell,Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d33,,,
frus1981-88v06-d34,34,FRUS 1981-1988 v06,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Carlucci) to President Reagan,1987-04-06,"April 6, 1987",Washington,aftermath,,,,Carlucci; Ronald Reagan; Ermarth; Bush; George P. Shultz; Mikhail S. Gorbachev,SDI; INF; Strategic Arms; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d34,,,
frus1981-88v06-d35,35,FRUS 1981-1988 v06,historical-document,Electronic Message From Fritz Ermarth of the National Security Council Staff to Sandra Kelly of the National Security Council Staff,1987-04-07,"April 7, 1987, 3:09 p.m.",Washington,aftermath,,,,Fritz Ermarth; Ronald Reagan; Bush; George P. Shultz; Ridgway; Paul H. Nitze; Rowny; Lehman; Weinberger; Crowe; Moellering; Kenneth L. Adelman; Gates; Meese; James Baker; Martin; Miller; Graham; Duberstein; Howard Baker; Carlucci; Robert Linhard; Mikhail S. Gorbachev; Armacost; Savimbi; Carter; Jack F. Matlock Jr.; Shevardnadze,INF; Strategic Arms; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d35,,,
frus1981-88v06-d36,36,FRUS 1981-1988 v06,historical-document,Telegram From the Consulate in Frankfurt to the Department of State,1987-04-08,"April 8, 1987, 2056Z",Frankfurt,aftermath,,,,Ermarth; George P. Shultz; Jack F. Matlock Jr.; Dobrynin; Horowitz; Mikhail S. Gorbachev,SDI; INF; Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d36,,,
frus1981-88v06-d37,37,FRUS 1981-1988 v06,historical-document,Letter From President Reagan to Soviet General Secretary Gorbachev,1987-04-10,"April 10, 1987",Washington,aftermath,,,,Ronald Reagan; Mikhail S. Gorbachev; George P. Shultz,Human Rights; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d37,,,
frus1981-88v06-d38,38,FRUS 1981-1988 v06,historical-document,Memorandum of Conversation,1987-04-13,"April 13, 1987, 11:30 a.m.–1:25 p.m.",Moscow,aftermath,,,,Parris; Shevardnadze; George P. Shultz; Thomas Simons; Ronald Reagan; Cyrus Vance; Mikhail S. Gorbachev; Wick; Margaret Thatcher; Schifter,Strategic Arms; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d38,,,
frus1981-88v06-d39,39,FRUS 1981-1988 v06,historical-document,Memorandum of Conversation,1987-04-13,"April 13, 1987",Moscow,aftermath,,,,Simons; George P. Shultz; Shevardnadze; Jack F. Matlock Jr.; Paul H. Nitze; Kenneth L. Adelman; Rozanne L. Ridgway; Richard Perle; Robert Linhard; Aleksandr Bessmertnykh; Victor Karpov; Yuriy Dubinin; Sergey Tarasenko; Aleksey Obukhov; P. Palazhchenko; Schifter; Mikhail S. Gorbachev; Glitman; Masterkov; Ronald Reagan,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d39,,,
frus1981-88v06-d14,14,FRUS 1981-1988 v06,editorial-note,Editorial Note,1989-01-08,,,aftermath,,,,Ronald Reagan; George P. Shultz; Frank Carlucci; Donald Regan; Bud McFarlane; Mikhail S. Gorbachev,SDI; Strategic Arms; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d14,,,
frus1981-88v06-d2,2,FRUS 1981-1988 v06,editorial-note,Editorial Note,1989-01-08,,,aftermath,,,,Ronald Reagan; Richard Combs,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d2,,,
frus1981-88v06-d22,22,FRUS 1981-1988 v06,editorial-note,Editorial Note,1989-01-08,,,aftermath,,,,Mikhail S. Gorbachev; Ronald Reagan; Max Kampelman; Mike Glitman; Ron Lehman,INF; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d22,,,
frus1981-88v06-d9,9,FRUS 1981-1988 v06,editorial-note,Editorial Note,1989-01-08,,,aftermath,,,,John M. Poindexter; Ronald Reagan; Frank Carlucci; Alton Keel; Dobrynin; George H.W. Bush; Caspar Weinberger; George P. Shultz; Robert Gates; Max Kampelman; Paul H. Nitze; Richard Perle; Robert Linhard; Jack F. Matlock Jr.; Donald Regan; Kenneth L. Adelman; Mikhail S. Gorbachev,INF; Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d9,,,
